1,"Морозильником ATLANT ХМ 4208-000",1234
2,Холодильник,1888
3,"Холодильник с морозильником ATLANT ХМ 4208-000",733
4,"Ноутбук HP 250 G8 (2X7T8EA)",1337
5,"Холодильник с морозильником ATLANT ХМ 4208-000",849
6,"Холодильник с морозильником ATLANT ХМ 4208-000",1601
7,"Телевизор LG 32LM576BPLD",868
8,"Холодильник с морозильником LG DoorCooling GA-B509MMQM",357
9,"Телевизор LG 32LM576BPLD",508
10,"Телевизор Philips 43PFS5505(60)",1242
11,"Ноутбук Acer Aspire 3 A315-34-P7TD",491
12,"Холодильник с морозильником Beko CNMV5335E20VS",447
13,"Смартфон Apple iPhone 13 128GB",1066
14,"Ноутбук Acer Aspire 3 A315-34-P7TD",352
15,"Холодильник с морозильником ATLANT ХМ 4208-000",1707
16,"Телевизор Horizont 32LE7051D",1462
17,"Холодильник с морозильником ATLANT ХМ 4208-000",772
18,"Смартфон Xiaomi Redmi Note 11 4GB(64GB)",524
19,"Ноутбук Lenovo IdeaPad L3 15ITL6",1875
20,"Холодильник с морозильником LG DoorCooling GA-B509MMQM",1640
